county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
12033,"Escambia, FL",Florida,202166.0,93.57070328624873,5656.363636363636,80.41908042424689,53617.6,331275.0,5.105085411387807,-13.151622862001844,0.8594472158473706,63.86286517020665,767.0,1351.0,-584.0,1969-1979 avg vs 2020-2024 avg,False
41019,"Douglas, OR",Oregon,70377.0,89.85806155327148,5497.363636363636,76.68170718751345,51075.0,112255.0,5.8374382423379005,-13.17635436575803,0.8533648051383063,59.50523608565299,1006.0,1629.0,-623.0,1969-1979 avg vs 2020-2024 avg,False
51911,"Campbell + Lynchburg, VA*",Virginia,97127.0,82.98960514804016,5042.909090909091,69.8039040249775,46524.6,135643.0,6.499643749206252,-13.185701123062657,0.8411162325746522,39.65529667342758,1446.0,2237.0,-791.0,1969-1979 avg vs 2020-2024 avg,False
53041,"Lewis, WA",Washington,44974.0,94.77483521523833,5799.727272727273,81.58307850031576,54348.0,87049.0,7.005800716115805,-13.191756714922562,0.8608094998533795,93.55405345310623,697.0,1270.0,-573.0,1969-1979 avg vs 2020-2024 avg,False
55105,"Rock, WI",Wisconsin,129756.0,94.19772686832053,5743.818181818182,80.93273207553011,53943.2,165461.0,5.211335003688892,-13.264994792790418,0.8591792473789349,27.517031967693217,734.0,1317.0,-583.0,1969-1979 avg vs 2020-2024 avg,False
29001,"Adair, MO",Missouri,22534.0,71.00592013207653,4389.909090909091,57.724215608435635,38417.8,25660.0,4.857225186351168,-13.28170452364089,0.8129493357886795,13.872370639921904,2238.0,2967.0,-729.0,1969-1979 avg vs 2020-2024 avg,False
06089,"Shasta, CA",California,76290.0,97.08688400509013,5905.636363636364,83.80333287113956,55822.6,181121.0,5.392211256613953,-13.283551133950567,0.863178726250457,137.41119412767074,570.0,1103.0,-533.0,1969-1979 avg vs 2020-2024 avg,False
39099,"Mahoning, OH",Ohio,301659.0,92.72008984603161,5670.818181818182,79.42868535455153,52949.6,225786.0,4.474845353310017,-13.29140449148008,0.8566502198870664,-25.15190993804263,814.0,1409.0,-595.0,1969-1979 avg vs 2020-2024 avg,False
51179,"Stafford, VA",Virginia,24107.0,110.26957303751448,6696.909090909091,96.96220101524099,64584.6,168919.0,7.474949571010758,-13.307372022273483,0.8793196377232165,600.7051893640851,178.0,520.0,-342.0,1969-1979 avg vs 2020-2024 avg,False
19157,"Poweshiek, IA",Iowa,18591.0,95.77418993702514,5842.181818181818,82.46426727581363,54995.2,18454.0,4.805203878690625,-13.309922661211516,0.8610280841846508,-0.7369157119036074,634.0,1210.0,-576.0,1969-1979 avg vs 2020-2024 avg,False
